iteration,time,id,x,y,dx,dy
0,0.0,0,349.71786,254.79219,-0.282135,-0.20780945
1,0.008333333333333333,0,349.9403,252.72386,0.22244263,-2.0683289
2,0.016666666666666666,0,350.0511,253.43465,0.11077881,0.7107849
3,0.025,0,350.3054,255.20639,0.25430298,1.7717438
4,0.03333333333333333,0,350.28525,253.67265,-0.020141602,-1.5337372
5,0.041666666666666664,0,350.12347,252.89613,-0.16177368,-0.7765198
6,0.05,0,349.73926,254.59395,-0.3842163,1.697815
7,0.058333333333333334,0,349.741,254.80756,0.001739502,0.21360779
8,0.06666666666666667,0,349.9752,252.78552,0.2341919,-2.0220337
9,0.075,0,350.19168,253.306,0.2164917,0.5204773
10,0.08333333333333333,0,350.25058,255.00052,0.058898926,1.694519
11,0.09166666666666666,0,350.0358,252.66962,-0.21478271,-2.330902
12,0.1,0,349.85806,254.40425,-0.17773438,1.7346344
13,0.10833333333333334,0,349.91733,254.89456,0.059265137,0.49031067
14,0.11666666666666667,0,349.90564,252.92867,-0.011688232,-1.9658966
15,0.125,0,350.177,253.10603,0.2713623,0.17736816
16,0.13333333333333333,0,350.18848,254.12119,0.011474609,1.015152
17,0.14166666666666666,0,350.11963,252.6696,-0.068847656,-1.4515839
18,0.15,0,349.99768,254.14693,-0.12194824,1.4773254
19,0.15833333333333333,0,350.01895,252.9495,0.021270752,-1.1974335
20,0.16666666666666666,0,350.1535,252.93251,0.134552,-0.016983032
21,0.175,0,350.14523,254.88701,-0.008270264,1.9544983
22,0.18333333333333332,0,350.08594,252.64082,-0.059295654,-2.2461853
23,0.19166666666666668,0,349.92148,254.01561,-0.16445923,1.3747864
24,0.2,0,349.91516,255.0311,-0.0063171387,1.0154877
25,0.20833333333333334,0,350.137,252.78137,0.22183228,-2.2497253
26,0.21666666666666667,0,350.21753,254.7804,0.08053589,1.9990234
27,0.225,0,350.2111,254.45894,-0.006439209,-0.3214569
28,0.23333333333333334,0,350.16812,252.68192,-0.04296875,-1.7770233
29,0.24166666666666667,0,349.89084,253.809,-0.2772827,1.1270905
30,0.25,0,349.8963,253.43932,0.0054626465,-0.36968994
31,0.25833333333333336,0,350.23438,254.57513,0.33807373,1.1358185
32,0.26666666666666666,0,350.27356,254.57198,0.03918457,-0.0031585693
33,0.275,0,350.21542,252.7722,-0.058135986,-1.7997742
34,0.2833333333333333,0,349.92804,253.55902,-0.28738403,0.78681946
35,0.2916666666666667,0,349.9126,255.10826,-0.0154418945,1.5492401
36,0.3,0,349.90002,253.52988,-0.012573242,-1.5783844
37,0.30833333333333335,0,350.17468,254.47517,0.2746582,0.94529724
38,0.31666666666666665,0,350.3272,254.76488,0.15252686,0.28970337
39,0.325,0,350.00775,253.45667,-0.319458,-1.3082123
40,0.3333333333333333,0,349.98294,255.13734,-0.024810791,1.6806793
41,0.3416666666666667,0,349.93707,253.69014,-0.04586792,-1.4472046
42,0.35,0,350.1314,252.63638,0.19433594,-1.0537567
43,0.35833333333333334,0,350.1957,254.3563,0.06430054,1.7199097
44,0.36666666666666664,0,350.21082,252.9345,0.015106201,-1.4217987
45,0.375,0,349.8956,253.39659,-0.31521606,0.46209717
46,0.38333333333333336,0,349.92374,254.95795,0.028137207,1.5613556
47,0.39166666666666666,0,349.91583,253.94122,-0.007904053,-1.0167236
48,0.4,0,350.24338,254.89058,0.32754517,0.9493561
49,0.4083333333333333,0,350.169,253.11537,-0.07437134,-1.7752075
50,0.4166666666666667,0,349.99124,253.12012,-0.1777649,0.0047454834
51,0.425,0,349.9428,254.9101,-0.048431396,1.789978
52,0.43333333333333335,0,349.9354,254.11923,-0.0074157715,-0.79086304
53,0.44166666666666665,0,350.15067,253.84702,0.215271,-0.2722168
54,0.45,0,350.31555,255.08234,0.16488647,1.235321
55,0.4583333333333333,0,350.18698,253.31575,-0.12857056,-1.7665863
56,0.4666666666666667,0,350.05963,252.97708,-0.12734985,-0.33866882
57,0.475,0,349.9955,254.87595,-0.06411743,1.8988647
58,0.48333333333333334,0,349.99463,254.35326,-0.00088500977,-0.5226898
59,0.49166666666666664,0,349.9699,252.55266,-0.024719238,-1.8005981
60,0.5,0,350.21954,253.37782,0.24963379,0.8251648
61,0.5083333333333333,0,350.05682,252.84244,-0.16271973,-0.53538513
62,0.5166666666666667,0,349.8759,254.71007,-0.18093872,1.86763
63,0.525,0,349.88354,254.51859,0.007659912,-0.19148254
64,0.5333333333333333,0,350.13843,253.50291,0.2548828,-1.0156708
65,0.5416666666666666,0,350.18497,253.51413,0.046539307,0.01121521
66,0.55,0,350.00168,252.71321,-0.18328857,-0.8009186
67,0.5583333333333333,0,349.86993,254.4484,-0.13174438,1.7351837
68,0.5666666666666667,0,349.85355,254.69061,-0.01638794,0.24221802
69,0.575,0,349.91724,252.7105,0.063690186,-1.9801178
70,0.5833333333333334,0,350.10083,253.38573,0.18359375,0.67523193
71,0.5916666666666667,0,350.16977,255.07819,0.06893921,1.6924591
72,0.6,0,350.16632,253.79535,-0.0034484863,-1.2828369
73,0.6083333333333333,0,349.97717,254.33475,-0.18914795,0.5393982
74,0.6166666666666667,0,349.9186,254.84135,-0.058563232,0.50660706
75,0.625,0,350.1791,253.15549,0.26049805,-1.6858673
76,0.6333333333333333,0,350.26328,254.98367,0.08416748,1.828186
77,0.6416666666666667,0,350.1768,253.95462,-0.08648682,-1.0290527
78,0.65,0,349.92932,254.18202,-0.24746704,0.22740173
79,0.6583333333333333,0,349.91324,254.91206,-0.016082764,0.7300415
80,0.6666666666666666,0,349.93643,252.99432,0.02319336,-1.9177399
81,0.675,0,350.36893,254.91273,0.43249512,1.9184113
82,0.6833333333333333,0,350.2521,254.13838,-0.11682129,-0.774353
83,0.6916666666666667,0,350.0228,252.58446,-0.22930908,-1.5539246
84,0.7,0,349.928,255.03899,-0.0947876,2.4545288
85,0.7083333333333334,0,349.9431,253.09276,0.015106201,-1.946228
86,0.7166666666666667,0,350.13028,252.80951,0.1871643,-0.2832489
87,0.725,0,350.27115,254.78548,0.14086914,1.9759674
88,0.7333333333333333,0,350.30038,254.33734,0.02923584,-0.44813538
89,0.7416666666666667,0,349.94202,253.8282,-0.35836792,-0.50914
90,0.75,0,349.90833,255.09027,-0.033691406,1.2620697
91,0.7583333333333333,0,349.90414,253.29759,-0.004180908,-1.7926788
